"Format","AiM CSV File"
"Session","Aravete"
"Vehicle","20 - Parolin Kart TM 60 2022"
"Racer","Ralf Rahkema"
"Championship","EMV1"
"Comment","77 hammakas rõühk 0.77"
"Date","Saturday, July 13, 2024"
"Time","9:00 AM"
"Sample Rate","20"
"Duration","470"
"Segment","Session"
"Beacon Markers","5.497","57.869","107.67","156.923","207.86","256.755","306.001","355.16","404.799","470"
"Segment Times","0:05.497","0:52.372","0:49.801","0:49.253","0:50.937","0:48.895","0:49.246","0:49.159","0:49.639","1:05.201"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","External Voltage","Exhaust Temp","Internal Battery","RPM"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","V","°C","V","rpm"

"6.150","57.2706","14","0.1883","0.2700","-0.0778","164.3591","6.6907","105.6056","7.4000","0.1200","136.2328","59.12420682","25.74610220","16.0","365.8","0.0","8591"
"6.200","57.6792","14","0.1617","0.2516","-0.0252","164.6570","5.6998","105.6302","7.4000","0.1300","161.0576","59.12419985","25.74610569","16.0","367.0","0.0","8663"
"6.250","58.0035","14","0.1406","0.2489","0.0121","164.9048","4.9192","105.6550","7.4000","0.1300","187.6646","59.12419279","25.74610930","16.0","368.2","0.0","8755"
"6.300","58.6402","14","0.1101","0.2659","0.0332","165.1044","3.8219","105.6785","7.3250","0.1300","244.1940","59.12418561","25.74611296","16.0","369.5","0.0","8819"
"6.350","59.2800","14","0.0964","0.2862","0.0873","165.2447","3.3193","105.6969","7.3000","0.1300","284.2412","59.12417834","25.74611648","16.0","370.8","0.0","8880"
"6.400","59.7301","14","0.0874","0.2942","0.1118","165.4239","2.9839","105.7221","7.3000","0.1300","318.5885","59.12417096","25.74612027","16.0","372.2","0.0","8976"
"6.450","60.2768","14","0.0903","0.3000","0.1392","165.6698","3.0554","105.7443","7.3000","0.1300","313.9852","59.12416354","25.74612375","16.0","373.8","0.0","9046"
"6.500","60.6311","14","0.1010","0.3125","0.1385","165.8336","3.3856","105.7634","7.3000","0.1300","285.0269","59.12415604","25.74612747","16.0","375.2","0.0","9100"
"6.550","61.2762","14","0.1112","0.3289","0.1613","166.1596","3.6944","105.7907","7.3000","0.1300","263.9753","59.12414842","25.74613095","16.0","376.8","0.0","9238"
"6.600","61.9604","14","0.1032","0.3234","0.1512","166.1772","3.3991","105.8028","7.2000","0.1300","290.1117","59.12414071","25.74613463","16.0","378.2","0.0","9287"
